account,sentiment_group,trades,volume_usd,total_closed_pnl,total_net_pnl,win_rate,avg_closed_pnl
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,4480,19924907.69,261917.977792,260019.900625781,0.3794642857142857,58.46383432857143
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,221,577683.5599999999,198900.56161,198844.447855,0.42081447963800905,900.0025412217195
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,986,10441684.57,166696.399486,164735.50792,0.3093306288032454,169.06328548275863
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100,1507100.86,124769.221441,124625.229446,0.37,1247.69221441
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,371,9319233.83,74346.546606,71421.679577,0.42857142857142855,200.39500432884097
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,387,3876163.91,37712.523408999994,36864.890074999996,0.25064599483204136,97.44838090180878
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,509,3177278.19,33980.0,33314.94320767,0.6129666011787819,66.75834970530452
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,5079,7342854.15,30774.092128,29044.577198080002,0.41327032880488285,6.059084884426068
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,316,1079447.85,25672.838055,25462.642353,0.9145569620253164,81.24315840189874
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797,4886973.24,16706.884912,15525.749777,0.37641154328732745,20.96221444416562
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,159,816051.26,12713.493131000001,12620.646661,0.27672955974842767,79.9590762955975
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112,277460.02999999997,11415.247787,11323.76357,0.6875,101.92185524107143
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,739,1240856.41,9544.906134,8953.61169806,0.3112313937753721,12.915975824086605
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,61,149251.29,9461.082288,9434.75608,0.04918032786885246,155.09970963934427
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Fear,68,653351.5,3425.96095,3197.287949,0.4852941176470588,50.38177867647059
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,825,2847955.2800000003,3222.822132,2808.8609159999996,0.47393939393939394,3.9064510690909087
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,143,146503.36,2037.258612,1994.9401213771,0.3076923076923077,14.24656372027972
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,539,738773.05,1774.309786,1559.69343,0.2504638218923933,3.2918548905380334
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Fear,270,162539.17,1011.258943,987.68795,0.22592592592592592,3.745403492592593
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Fear,80,316665.65,622.41079,516.011205,0.075,7.780134875
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,19,64377.46000000001,110.553364,104.115634,1.0,5.818598105263158
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Fear,79,440050.95,0.0,-44.005053,0.0,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Fear,17,38053.979999999996,0.0,-3.805396,0.0,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Fear,5,1460.13,-961.048507,-961.55955,0.0,-192.2097014
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,170,366532.65,-4235.153050999999,-4298.44359818,0.3,-24.91266500588235
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,49,289506.08,-4825.496358,-4926.823461,0.20408163265306123,-98.47951751020409
