date,trades,volume_usd,closed_pnl,net_pnl,win_rate,sentiment_value
2023-05-01,3,477.0,0.0,0.0,0.0,63.0
2023-12-05,9,50005.83,0.0,-12.501455,0.0,75.0
2023-12-14,11,113203.35,-205.43473700000007,-233.73556800000003,0.36363636363636365,72.0
2023-12-15,2,10609.95,-24.632033999999997,-27.284523,0.0,70.0
2023-12-16,3,15348.77,0.0,-3.8371890000000004,0.0,67.0
2023-12-17,14,116278.02,304.982785,275.91328599999997,0.5,73.0
2023-12-18,2,31164.179999999997,0.0,-7.791045,0.0,65.0
2023-12-19,15,91602.41,1000.5386120000001,977.638016,0.6666666666666666,73.0
2023-12-20,18,141636.79,162.732282,127.323095,0.4444444444444444,74.0
2023-12-21,49,125233.97,537.211402,505.902933,0.5306122448979592,70.0
2023-12-22,10,88874.28,141.832675,119.61410899999998,0.2,74.0
2023-12-23,13,78438.25,146.936704,127.327149,0.6153846153846154,70.0
2023-12-24,39,402954.94,1008.619956,907.881241,0.38461538461538464,71.0
2023-12-25,3,59948.51,-245.081348,-260.068473,0.0,73.0
2023-12-27,28,171411.06,-704.8892269999999,-747.741974,0.14285714285714285,73.0
2023-12-28,23,100117.25,-970.730876,-995.760176,0.0,73.0
2023-12-29,50,569559.72,508.92214299999995,366.532242,0.3,65.0
2023-12-30,52,702550.21,354.998648,179.36112199999997,0.4423076923076923,68.0
2024-01-01,18,264239.52999999997,-129.53146,-195.59132699999998,0.05555555555555555,65.0
2024-01-02,17,121348.74,783.979116,753.64194,0.47058823529411764,71.0
2024-01-03,67,394499.36,866.015507,767.390696,0.417910447761194,70.0
2024-01-04,5,99792.54000000001,-67.60364,-92.551772,0.0,68.0
2024-01-05,66,1703942.66,164.141565,-261.844074,0.19696969696969696,72.0
2024-01-06,22,298521.4,135.58166400000002,60.95132200000004,0.45454545454545453,70.0
2024-01-07,97,1048850.06,-835.681235,-1097.893699,0.09278350515463918,71.0
2024-01-08,128,1522452.43,-269.874439,-650.4875030000002,0.25,71.0
2024-01-09,70,870051.97,-826.349863,-1030.3627910000002,0.2571428571428571,76.0
2024-01-10,193,2057479.48,-1517.091342,-1951.136207,0.21243523316062177,73.0
2024-01-11,21,305314.1,-164.08950099999998,-239.95667199999997,0.23809523809523808,76.0
