sentiment_group,side_normalized,trades,volume_usd,total_closed_pnl,avg_closed_pnl,win_rate
Extreme Fear,BUY,10935,56441029.67,373043.441701,34.11462658445359,0.20164609053497942
Extreme Fear,SELL,10465,58043231.77,366066.806789,34.9801057610129,0.5471571906354515
Fear,BUY,30270,246841746.10999998,1935073.439058,63.92710403230922,0.2629996696399075
Fear,SELL,31567,236483043.68,1422082.002584,45.04964052916019,0.572053093420344
Neutral,BUY,18969,73626474.65,554415.09155,29.227428517581316,0.24002319574041858
Neutral,SELL,18717,106615588.43,738505.584,39.45640775765347,0.5560720200886894
Greed,BUY,24576,154988320.2,614456.584204,25.002302417154947,0.3180745442708333
Greed,SELL,25727,133594174.52,1535672.688747,59.6910906342364,0.44859486142962646
Extreme Greed,BUY,17940,60332842.01,188350.754579,10.498927234057971,0.3114269788182832
Extreme Greed,SELL,22052,64132322.56,2526820.556094,114.58464339261745,0.5898331217123164
